Channel no.,"Channel's region
(detailed)",x-coordinate,y-coordinate,z-coordinate,"Channel region
(use this)"
61,Superior Frontal Gyrus     Frontal_Sup_L,-15.70857143,58.38285714,25.89142857,'Frontal_Sup_L'
62,Angular Gyrus     Angular_R,54.57714286,-65.75428571,32.31428571,'Angular_R'
63,Superior Temporal Gyrus     Temporal_Mid_R,65.09090909,-53.34090909,7.386363636,'Temporal_Mid_R'
64,Cingulate Gyrus  Cingulum_Mid_L,0.354166667,-18.33333333,32.95833333,'Cingulum_Mid_L'
65,Superior Temporal Gyrus     Temporal_Mid_L,-61.32335329,-55.34730539,9.646706587,'Temporal_Mid_L'
66,Thalamus    Pulvinar // Thalamus_L,-16.41304348,-30.63043478,8.5,'Thalamus_L'
67,Precentral Gyrus     Postcentral_L,-57.18579235,-7.032786885,27.77595628,'Postcentral_L'
68,Inferior Frontal Gyrus       Frontal_Mid_R,42.04878049,50,3.536585366,'Frontal_Mid_R'
69,Middle Frontal Gyrus    Frontal_Mid_L,-32.81818182,53.60962567,6.903743316,'Frontal_Mid_L'
70,Superior Temporal Gyrus     Temporal_Sup_R,63.2122905,-8.418994413,6.184357542,'Temporal_Sup_R'
71,Parahippocampa Gyrus      ParaHippocampal_R,19.35955056,-12.39325843,-25.51685393,'ParaHippocampal_R'
72,Lingual Gyrus       Lingual_R,21.28571429,-74.31428571,-11.22857143,'Lingual_R'
73,Anterior Cingulate      Cingulum_Ant_R,2.142857143,26.56650246,21.0591133,'Cingulum_Ant_R'
74,Middle Temporal Gyrus      Temporal_Mid_L,-63.83544304,-23.81012658,-16.11392405,'Temporal_Mid_L'
75,Postcentral Gyrus     Postcentral_R,58.20481928,-24.95180723,49.14457831,'Postcentral_R'
76,Insula    Insula_L,-32.98994975,20.48743719,1.944723618,'Insula_L'
77,Caudate body    Caudate_R,15.97297297,-6.945945946,19.67567568,'Caudate_R'
78,Middle Temporal Gyrus      Angular_L,-47.75428571,-73.73142857,28.58857143,'Angular_L'
79,Middle Frontal Gyrus     Frontal_Mid_Orb_L,-24.82926829,34.34146341,-17.04878049,'Frontal_Mid_Orb_L'
80,Precentral Gyrus    Postcentral_R,60.21787709,-2.407821229,28.73184358,'Postcentral_R'
81,Third Ventricle     Olfactory,-0.482352941,0.294117647,-12.76470588,'Olfactory'
82,Superior Occipital Gyrus    Occipital_Mid_L,-30.28846154,-87.38461538,23.13461538,'Occipital_Mid_L'
83,Superior Frontal Gyrus    Frontal_Sup_Medial_L,-11.33532934,66.37724551,4.904191617,'Frontal_Sup_Medial_L'
84,Middle Temporal Gyrus    Temporal_Mid_R,50.34883721,-74.53488372,7.558139535,'Temporal_Mid_R'
85,Posterior Cingulate   Vermis_4_5,1.574358974,-49.32820513,6.169230769,'Vermis_4_5'
86,Inferior Parietal Lobule      SupraMarginal_R,64.52475248,-25.07920792,24.8019802,'SupraMarginal_R'
87,Superior Temporal Gyrus     Insula_R,42.49152542,-6.875706215,-13.98305085,'Insula_R'
88,Middle Temporal Gyrus     Temporal_Inf_L,-52.84615385,-60.84615385,-11.17307692,'Temporal_Inf_L'
89,Medial Frontal Gyrus     Frontal_Sup_Medial_R,10.44,67.10666667,-1,'Frontal_Sup_Medial_R'
90,Insula         Temporal_Sup_L,-42.27683616,-17.33898305,-6.548022599,'Temporal_Sup_L'
91,Declive       Vermis_6,0.42081448,-63.98642534,-19.92307692,'Vermis_6'
92,Cuneus       Occipital_Sup_R,15.33009709,-88.55339806,33.40776699,'Occipital_Sup_R'
93,Medial Frontal Gyrus              Frontal_Med_Orb_R,0.023041475,35.07373272,-9.838709677,'Frontal_Med_Orb_R'
94,Superior Frontal Gyrus     Frontal_Mid_R,32.92270531,47.42512077,25.65700483,'Frontal_Mid_R'
95,Parahippocampa Gyrus       Fusiform_L,-28.28070175,-43.98245614,-12.03508772,'Fusiform_L'
96,Precuneus       Precuneus_L,0.2,-57.06956522,44.5826087,'Precuneus_L'
97,Superior Temporal Gyrus      Temporal_Pole_Sup_R,54.57142857,11.02380952,-6.380952381,'Temporal_Pole_Sup_R'
98,Supramarginal Gyrus    SupraMarginal_L,-58.21893491,-50.20710059,31.76923077,'SupraMarginal_L'
